GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4
NAME,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff
AATF,0.115311679,6.13,4.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACAD9,NaN,NaN,NaN,NaN,NaN,NaN,0.02230108,2.93,1.28,NaN,NaN,NaN,NaN,NaN,NaN
ACADVL,NaN,NaN,NaN,NaN,NaN,NaN,0.734300718,1.4,1.53,NaN,NaN,NaN,NaN,NaN,NaN
ACTN1,NaN,NaN,NaN,NaN,NaN,NaN,-0.045005283,1.95,0.41,NaN,NaN,NaN,NaN,NaN,NaN
ACTN4,NaN,NaN,NaN,NaN,NaN,NaN,-0.493803806,2.54,0.38,NaN,NaN,NaN,NaN,NaN,NaN
ADCK5,NaN,NaN,NaN,0.648863122,1.93,2.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADPGK,0.278071387,1.5,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGPS,NaN,NaN,NaN,NaN,NaN,NaN,-0.19935559,1.46,0.18,NaN,NaN,NaN,NaN,NaN,NaN
ALG1,0.07747346,1.68,0.46,NaN,NaN,NaN,0.522817701,1.46,0.35,NaN,NaN,NaN,NaN,NaN,NaN
ALG2,NaN,NaN,NaN,NaN,NaN,NaN,-0.364916595,1.64,3.07,NaN,NaN,NaN,NaN,NaN,NaN
ALPP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121050491,1.36,1.77,NaN,NaN,NaN
ANXA5,1.189879916,1.62,2.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AP2B1,NaN,NaN,NaN,NaN,NaN,NaN,0.359325128,2.38,0.66,NaN,NaN,NaN,NaN,NaN,NaN
AP2M1,NaN,NaN,NaN,NaN,NaN,NaN,0.169302971,2.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN
API5,NaN,NaN,NaN,NaN,NaN,NaN,-0.254899962,1.97,0.74,NaN,NaN,NaN,NaN,NaN,NaN
AQR,NaN,NaN,NaN,NaN,NaN,NaN,0.296178409,1.33,0.21,NaN,NaN,NaN,NaN,NaN,NaN
ARID5B,NaN,NaN,NaN,0.594797633,1.3,0.46,NaN,NaN,NaN,1.90598188,1.31,0.25,0.05681864,1.31,1.21
ARL1,NaN,NaN,NaN,NaN,NaN,NaN,-0.04731325,1.72,2.97,NaN,NaN,NaN,NaN,NaN,NaN
ARMC10,NaN,NaN,NaN,NaN,NaN,NaN,0.031237094,1.67,0.47,0.304115545,1.63,2.58,NaN,NaN,NaN
ARMCX2,NaN,NaN,NaN,NaN,NaN,NaN,-0.167929187,1.47,0.41,0.568258118,1.61,2.75,NaN,NaN,NaN
ATAD2,-0.140151086,2.48,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.510579827,1.62,2.57
ATAD5,0.481953258,4.04,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATF6,-0.094016001,2.69,1.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.008018189,2.14,3.75
ATP5F1,NaN,NaN,NaN,NaN,NaN,NaN,0.084866836,6.02,0.71,NaN,NaN,NaN,NaN,NaN,NaN
ATP6V0D1,NaN,NaN,NaN,NaN,NaN,NaN,0.312037781,4.61,3.88,NaN,NaN,NaN,NaN,NaN,NaN
ATRN,NaN,NaN,NaN,0.866694826,1.65,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATXN2L,NaN,NaN,NaN,-1.806458281,1.78,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BAG6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.208629437,1.68,0.22,NaN,NaN,NaN
BBX,0.049884261,4.09,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BCAP29,NaN,NaN,NaN,NaN,NaN,NaN,-0.127189471,2.43,0.55,NaN,NaN,NaN,NaN,NaN,NaN
BCAP31,NaN,NaN,NaN,NaN,NaN,NaN,0.631968129,2.39,0.43,NaN,NaN,NaN,NaN,NaN,NaN
BCL11B,0.036267991,4.4,3.96,0.387746633,4.6,4.28,NaN,NaN,NaN,NaN,NaN,NaN,0.076770766,1.31,2.86
BCLAF1,1.165840511,2.01,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEND3,0.701804024,3.3,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHLHE40,-0.201794261,1.33,1.79,0.878127564,2.28,2.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHLHE41,0.100183184,7.41,5.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.765142238,1.79,3.79
BLM,0.038052021,6.72,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.799846022,4.71,3.53
BMS1,0.736841449,3.61,2.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BNC2,-0.235860309,5.42,3.62,0.632693037,1.62,2.44,NaN,NaN,NaN,NaN,NaN,NaN,0.239822005,3.49,5.15
BRCA1,0.07577042,4.56,4.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRI3BP,NaN,NaN,NaN,NaN,NaN,NaN,0.448131232,4.67,0.55,NaN,NaN,NaN,NaN,NaN,NaN
BRIX1,0.386668288,1.67,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C11orf84,0.077050186,5.81,5.51,NaN,NaN,NaN,0.081965711,4.99,5.05,NaN,NaN,NaN,NaN,NaN,NaN
C14orf93,0.350801184,5.4,4.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C18orf25,0.202727786,4.79,4.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C2orf47,NaN,NaN,NaN,NaN,NaN,NaN,-0.228520253,2.98,0.81,NaN,NaN,NaN,NaN,NaN,NaN
CALML5,NaN,NaN,NaN,0.434971727,1.5,3.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CALR,1.216035565,1.4,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAND1,NaN,NaN,NaN,NaN,NaN,NaN,0.911954197,2,0.44,NaN,NaN,NaN,NaN,NaN,NaN
CASC4,NaN,NaN,NaN,0.563355305,1.61,3.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CASC5,-0.335008717,1.62,2.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CASP14,NaN,NaN,NaN,NaN,NaN,NaN,-0.179814053,4.48,3.14,NaN,NaN,NaN,NaN,NaN,NaN
CASP8AP2,0.223413248,6.22,7.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.320408512,2.82,3.99
CBL,0.450592,1.92,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CBLL1,NaN,NaN,NaN,0.223941438,1.34,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CBX2,0.005927375,5.47,4.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CBX4,NaN,NaN,NaN,NaN,NaN,NaN,-0.334847695,1.47,0.2,NaN,NaN,NaN,NaN,NaN,NaN
CCDC47,NaN,NaN,NaN,NaN,NaN,NaN,0.243415617,5.03,0.99,NaN,NaN,NaN,NaN,NaN,NaN
CCNK,NaN,NaN,NaN,NaN,NaN,NaN,0.037866285,2.97,0.67,NaN,NaN,NaN,NaN,NaN,NaN
CCNT1,NaN,NaN,NaN,NaN,NaN,NaN,0.043903128,1.51,0.33,NaN,NaN,NaN,NaN,NaN,NaN
CCNYL1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.223374284,1.33,0.48,NaN,NaN,NaN
CCSMST1,NaN,NaN,NaN,NaN,NaN,NaN,0.308558781,4.16,3.64,NaN,NaN,NaN,NaN,NaN,NaN
CCT3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106528811,1.82,5.69
CCT8,NaN,NaN,NaN,NaN,NaN,NaN,0.717787673,1.54,0.82,NaN,NaN,NaN,NaN,NaN,NaN
CCZ1,NaN,NaN,NaN,NaN,NaN,NaN,0.232394587,1.69,2.85,NaN,NaN,NaN,NaN,NaN,NaN
CDK1,-0.342602586,1.79,2.91,-0.065470086,1.9,3.11,NaN,NaN,NaN,NaN,NaN,NaN,0.156941771,2.33,3.86
CDC23,NaN,NaN,NaN,NaN,NaN,NaN,0.017376806,1.61,2.43,NaN,NaN,NaN,NaN,NaN,NaN
CDC42,NaN,NaN,NaN,NaN,NaN,NaN,0.361349738,2.69,0.8,NaN,NaN,NaN,NaN,NaN,NaN
CDC5L,0.929853879,3.19,2.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDC7,-0.372048779,1.48,2.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDK11A,-0.041175985,4.85,6.71,0.068590619,2.32,2.52,NaN,NaN,NaN,NaN,NaN,NaN,0.083350518,3.2,4.09
CDK11B,0.4856283,3.33,3.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.529557445,1.39,1.18
CEBPZ,NaN,NaN,NaN,NaN,NaN,NaN,0.120307097,4.8,0.72,NaN,NaN,NaN,NaN,NaN,NaN
CENPB,0.103154238,4.23,4.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CENPC,0.087921251,5.65,3.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CENPL,NaN,NaN,NaN,NaN,NaN,NaN,0.026233121,1.88,2.5,NaN,NaN,NaN,NaN,NaN,NaN
CENPP,11.76511121,1.46,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CEPT1,NaN,NaN,NaN,NaN,NaN,NaN,0.042150484,1.51,0.53,NaN,NaN,NaN,NaN,NaN,NaN
CERS2,NaN,NaN,NaN,NaN,NaN,NaN,0.850692379,2.45,0.28,NaN,NaN,NaN,NaN,NaN,NaN
CHD4,0.003892281,2.81,0.57,0.324246721,1.49,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CISD2,NaN,NaN,NaN,NaN,NaN,NaN,-0.016084952,2.41,3.3,NaN,NaN,NaN,NaN,NaN,NaN
CLASP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.107151833,1.59,0.28,NaN,NaN,NaN
CLCC1,NaN,NaN,NaN,NaN,NaN,NaN,0.781050812,1.65,0.7,NaN,NaN,NaN,NaN,NaN,NaN
CLPTM1,NaN,NaN,NaN,NaN,NaN,NaN,0.567512069,2.94,0.67,NaN,NaN,NaN,NaN,NaN,NaN
CLTC,NaN,NaN,NaN,NaN,NaN,NaN,1.032599478,1.42,0.18,NaN,NaN,NaN,NaN,NaN,NaN
CNEP1R1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.275089251,1.44,0.16,NaN,NaN,NaN
CNNM4,NaN,NaN,NaN,NaN,NaN,NaN,0.653170041,1.34,2.11,NaN,NaN,NaN,NaN,NaN,NaN
CNOT11,NaN,NaN,NaN,NaN,NaN,NaN,0.282349696,6.05,4.05,NaN,NaN,NaN,NaN,NaN,NaN
CNTN6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634298646,1.49,3.94
COIL,0.844146747,4.44,5.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COPB1,NaN,NaN,NaN,NaN,NaN,NaN,0.4719206,1.58,0.28,NaN,NaN,NaN,NaN,NaN,NaN
COPG1,NaN,NaN,NaN,NaN,NaN,NaN,0.513630677,1.85,1.19,NaN,NaN,NaN,NaN,NaN,NaN
COPS3,NaN,NaN,NaN,NaN,NaN,NaN,1.297109658,2.35,0.45,NaN,NaN,NaN,NaN,NaN,NaN
COX20,NaN,NaN,NaN,NaN,NaN,NaN,-0.092732645,1.3,0.56,NaN,NaN,NaN,NaN,NaN,NaN
COX4I1,NaN,NaN,NaN,NaN,NaN,NaN,-0.136109484,2.34,0.47,NaN,NaN,NaN,NaN,NaN,NaN
CPSF3,1.594076174,2.1,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRNKL1,NaN,NaN,NaN,NaN,NaN,NaN,0.148769443,2.19,3.38,NaN,NaN,NaN,NaN,NaN,NaN
CSNK1A1,NaN,NaN,NaN,NaN,NaN,NaN,0.78746973,1.37,0.66,NaN,NaN,NaN,NaN,NaN,NaN
CSNK2A1,-0.430047509,1.44,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUL2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.865148065,1.61,3.1,NaN,NaN,NaN
CYC1,NaN,NaN,NaN,NaN,NaN,NaN,0.154295319,3.62,1.11,NaN,NaN,NaN,NaN,NaN,NaN
DAXX,0.343388294,6.4,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDB1,NaN,NaN,NaN,NaN,NaN,NaN,-0.201900136,1.47,0.6,NaN,NaN,NaN,NaN,NaN,NaN
DDOST,NaN,NaN,NaN,NaN,NaN,NaN,0.327256463,2.09,0.45,NaN,NaN,NaN,NaN,NaN,NaN
DDX18,0.011940887,1.36,2.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX21,0.564378827,2.91,2.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX52,1.055661673,4.18,4.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DEGS1,NaN,NaN,NaN,NaN,NaN,NaN,0.582938958,1.61,0.34,NaN,NaN,NaN,NaN,NaN,NaN
DHCR7,NaN,NaN,NaN,NaN,NaN,NaN,0.248529274,2.07,0.85,NaN,NaN,NaN,NaN,NaN,NaN
DHDDS,NaN,NaN,NaN,NaN,NaN,NaN,0.160056796,2.27,1.84,NaN,NaN,NaN,NaN,NaN,NaN
DHRS7B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96168715,1.48,1.85,NaN,NaN,NaN
DHX36,NaN,NaN,NaN,NaN,NaN,NaN,0.18632629,6.75,3.39,NaN,NaN,NaN,NaN,NaN,NaN
DHX9,NaN,NaN,NaN,NaN,NaN,NaN,0.221457646,3.27,0.79,NaN,NaN,NaN,NaN,NaN,NaN
DKC1,0.465331335,2.57,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019884063,2.55,3.01
DNAJC8,0.035270669,4.6,5.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNTTIP2,0.354229704,5.99,6.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DYNC1H1,NaN,NaN,NaN,NaN,NaN,NaN,0.696099161,1.47,0.9,0.201381476,1.61,2.57,NaN,NaN,NaN
EBP,NaN,NaN,NaN,3.777768433,2.18,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ECE1,-0.699932546,1.58,1.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EHMT1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625746679,1.69,2.59
EIF3C,NaN,NaN,NaN,NaN,NaN,NaN,0.179875928,3.04,0.61,NaN,NaN,NaN,NaN,NaN,NaN
EIF4A3,1.066568311,2.05,2.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF4G1,NaN,NaN,NaN,NaN,NaN,NaN,0.386099894,1.87,0.49,NaN,NaN,NaN,NaN,NaN,NaN
EIF4G2,NaN,NaN,NaN,NaN,NaN,NaN,0.337990218,3.51,1.2,NaN,NaN,NaN,NaN,NaN,NaN
ELMOD2,-0.096548398,1.32,0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELMSAN1,-0.014419817,1.83,1.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELOVL5,NaN,NaN,NaN,NaN,NaN,NaN,0.300058396,1.53,0.59,NaN,NaN,NaN,NaN,NaN,NaN
EMC1,NaN,NaN,NaN,NaN,NaN,NaN,0.154215437,2.43,1.05,NaN,NaN,NaN,NaN,NaN,NaN
EMSY,-0.032657308,6.26,5.53,-0.248186141,1.32,1.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EPT1,NaN,NaN,NaN,NaN,NaN,NaN,0.249357643,2.02,0.68,NaN,NaN,NaN,NaN,NaN,NaN
ERCC1,0.873021921,4.53,4.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ERCC4,0.594258687,2.41,3.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ERO1L,NaN,NaN,NaN,NaN,NaN,NaN,0.045322473,1.31,0.76,NaN,NaN,NaN,NaN,NaN,NaN
ESF1,0.769857504,3.07,4.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETS1,NaN,NaN,NaN,0.45484681,2.4,5.95,NaN,NaN,NaN,NaN,NaN,NaN,0.160683726,3.89,4.54
ETV6,0.196130599,2.67,4.09,0.364629607,4.75,4.04,NaN,NaN,NaN,NaN,NaN,NaN,-0.496512023,1.86,3.32
EXOC6B,NaN,NaN,NaN,NaN,NaN,NaN,0.329302306,1.69,0.54,NaN,NaN,NaN,NaN,NaN,NaN
EXOSC10,0.613241927,6.72,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EXOSC7,NaN,NaN,NaN,NaN,NaN,NaN,0.035235084,1.81,0.77,NaN,NaN,NaN,NaN,NaN,NaN
EXOSC9,1.023195941,6.32,4.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAF2,NaN,NaN,NaN,NaN,NaN,NaN,0.236941322,2.23,0.34,NaN,NaN,NaN,NaN,NaN,NaN
FAM111A,0.838637828,5.67,4.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAM162A,NaN,NaN,NaN,NaN,NaN,NaN,-0.356735735,2.52,0.56,NaN,NaN,NaN,NaN,NaN,NaN
FAM178A,0.365721976,1.74,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAM49B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.172517448,2.19,0.16,NaN,NaN,NaN
FAP,0.650992431,3.24,3.38,NaN,NaN,NaN,0.006863318,1.59,2.94,NaN,NaN,NaN,NaN,NaN,NaN
FASTKD2,NaN,NaN,NaN,NaN,NaN,NaN,0.505205444,1.33,0.32,NaN,NaN,NaN,NaN,NaN,NaN
FDFT1,NaN,NaN,NaN,NaN,NaN,NaN,0.050951718,1.5,0.4,NaN,NaN,NaN,NaN,NaN,NaN
FDPS,NaN,NaN,NaN,NaN,NaN,NaN,0.336884867,1.39,0.58,NaN,NaN,NaN,NaN,NaN,NaN
FKRP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.070396408,1.67,0.38,NaN,NaN,NaN
FLNC,NaN,NaN,NaN,NaN,NaN,NaN,-0.102555892,1.56,0.22,NaN,NaN,NaN,NaN,NaN,NaN
FOSL2,1.09030802,5.31,3.27,0.501863833,1.65,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
