GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4
SUMO1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.031584895,2.04,0.73
SUMO2,0.530248485,2.98,2.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43814273,1.84,1.39
SUMO3,0.34996823,3.13,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.459782393,2.64,1.17
SUN1,NaN,NaN,NaN,NaN,NaN,NaN,-0.327069425,1.44,0.23,NaN,NaN,NaN,NaN,NaN,NaN
SUPT7L,0.458132101,3.46,3.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SUPV3L1,NaN,NaN,NaN,NaN,NaN,NaN,0.072106938,3.92,0.9,NaN,NaN,NaN,NaN,NaN,NaN
SURF4,0.160120001,1.62,0.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SYMPK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.018045233,1.33,0.36,NaN,NaN,NaN
SYNGR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.018331701,1.41,0.23,NaN,NaN,NaN
TAF6L,NaN,NaN,NaN,NaN,NaN,NaN,0.191199528,1.69,0.43,NaN,NaN,NaN,NaN,NaN,NaN
TAPBP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45476729,1.31,0.22,NaN,NaN,NaN
TBL3,0.45509281,1.38,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TBRG4,NaN,NaN,NaN,NaN,NaN,NaN,0.152842413,1.56,0.69,NaN,NaN,NaN,NaN,NaN,NaN
TCOF1,0.919939035,5.55,8.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TDG,0.133397606,4.69,6.16,0.529440493,4.47,4.18,-0.040961192,7.42,5.12,NaN,NaN,NaN,0.24423698,4.39,6.26
TFRC,NaN,NaN,NaN,NaN,NaN,NaN,0.036839054,1.84,0.33,NaN,NaN,NaN,NaN,NaN,NaN
THOC1,NaN,NaN,NaN,NaN,NaN,NaN,0.056106918,2.07,3.82,0.354384549,1.83,2.48,NaN,NaN,NaN
TMED10,NaN,NaN,NaN,NaN,NaN,NaN,-0.199189681,2.05,0.22,NaN,NaN,NaN,NaN,NaN,NaN
TMED2,0.525277277,1.56,1.16,NaN,NaN,NaN,-0.305460014,2.32,0.89,NaN,NaN,NaN,NaN,NaN,NaN
TMEM194A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.674940575,1.33,2.51,NaN,NaN,NaN
TMEM214,NaN,NaN,NaN,NaN,NaN,NaN,-0.263104217,1.79,0.22,NaN,NaN,NaN,NaN,NaN,NaN
TMEM245,NaN,NaN,NaN,NaN,NaN,NaN,-0.359075422,1.37,0.31,NaN,NaN,NaN,NaN,NaN,NaN
TMEM33,NaN,NaN,NaN,NaN,NaN,NaN,0.223443357,2.81,0.84,NaN,NaN,NaN,NaN,NaN,NaN
TMEM65,NaN,NaN,NaN,NaN,NaN,NaN,0.007163695,1.52,0.5,NaN,NaN,NaN,NaN,NaN,NaN
TMEM68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.46892632,1.73,1.66,NaN,NaN,NaN
TMEM97,0.581393471,3.93,4.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TMPO,NaN,NaN,NaN,NaN,NaN,NaN,0.329360058,1.45,0.14,NaN,NaN,NaN,NaN,NaN,NaN
TMTC3,NaN,NaN,NaN,NaN,NaN,NaN,1.04386753,2.23,0.56,NaN,NaN,NaN,NaN,NaN,NaN
TMUB2,NaN,NaN,NaN,NaN,NaN,NaN,0.740276901,1.75,0.24,NaN,NaN,NaN,NaN,NaN,NaN
TMX1,NaN,NaN,NaN,NaN,NaN,NaN,0.144700693,1.75,0.29,NaN,NaN,NaN,NaN,NaN,NaN
TNFSF9,NaN,NaN,NaN,0.366855875,1.45,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TNPO1,NaN,NaN,NaN,NaN,NaN,NaN,0.662735542,1.85,0.36,NaN,NaN,NaN,-0.477847993,2.45,0.28
TOMM22,NaN,NaN,NaN,NaN,NaN,NaN,0.389849413,1.89,2.33,0.445157255,1.34,1.41,NaN,NaN,NaN
TOP1,NaN,NaN,NaN,0.778118054,1.69,0.19,NaN,NaN,NaN,1.732526771,2.3,0.19,NaN,NaN,NaN
TOP2A,-0.099265639,4.13,1.38,-0.041159158,1.54,0.72,NaN,NaN,NaN,NaN,NaN,NaN,0.049849676,2.54,1.06
TOP2B,0.071557137,4.65,6.84,0.924627785,1.39,2.21,-0.808765452,1.65,1.74,NaN,NaN,NaN,0.186557784,3.91,4.39
TOPORS,0.057716801,5.67,10.17,-0.387172204,3.9,4.66,-0.605235618,4.07,3.35,NaN,NaN,NaN,0.073148586,5.92,7.52
TOR1AIP2,NaN,NaN,NaN,NaN,NaN,NaN,0.028233194,1.91,0.66,NaN,NaN,NaN,NaN,NaN,NaN
TP53I11,NaN,NaN,NaN,NaN,NaN,NaN,-0.505964677,1.77,0.32,NaN,NaN,NaN,NaN,NaN,NaN
TPI1,1.314543684,1.71,2.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM24,0.023649695,3.96,3.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM25,NaN,NaN,NaN,NaN,NaN,NaN,0.291853928,3.17,1.42,NaN,NaN,NaN,NaN,NaN,NaN
TRIM28,0.156013348,4.46,6.9,0.210129131,6.09,6.8,0.211530655,5.17,2.54,0.664926581,1.55,2.36,0.146914896,6.58,9.27
TRIM33,0.038853403,7.56,8.37,0.128918504,3.13,4.74,NaN,NaN,NaN,NaN,NaN,NaN,-0.692972926,2.92,2.94
TRIP12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.998056311,1.32,0.89,NaN,NaN,NaN
TSPYL2,0.143028696,5.23,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
U2SURP,NaN,NaN,NaN,NaN,NaN,NaN,-0.08257871,1.38,0.38,NaN,NaN,NaN,NaN,NaN,NaN
UBA2,1.121125114,4.46,2.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UBAC2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.231174425,1.31,0.29,NaN,NaN,NaN
UBB,-0.13752137,3.33,2.37,-0.401292701,1.42,0.61,NaN,NaN,NaN,NaN,NaN,NaN,-0.003525115,2.99,0.74
UBC,-0.13752137,3.33,2.37,-0.401292701,1.42,0.61,NaN,NaN,NaN,NaN,NaN,NaN,-0.003525115,2.99,0.74
UBE2I,NaN,NaN,NaN,0.850003738,3.82,3.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UGT8,NaN,NaN,NaN,NaN,NaN,NaN,0.202027875,1.33,0.45,NaN,NaN,NaN,NaN,NaN,NaN
UIMC1,0.084296443,7.77,7.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.060946912,6.01,5.24
UQCRQ,NaN,NaN,NaN,NaN,NaN,NaN,0.368911078,1.56,2.82,NaN,NaN,NaN,NaN,NaN,NaN
USMG5,NaN,NaN,NaN,NaN,NaN,NaN,0.208277485,2.47,0.68,NaN,NaN,NaN,NaN,NaN,NaN
USP13,0.150989504,5.63,5.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
USP22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.469191772,1.41,0.28,NaN,NaN,NaN
USP39,1.012512635,2.52,0.71,NaN,NaN,NaN,-0.636234674,2.33,0.3,NaN,NaN,NaN,NaN,NaN,NaN
UTP11L,0.333043848,5.14,4.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UTP14A,0.963329508,6.48,7.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UTP18,0.294116664,4,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17477682,2.58,4.57
UTP3,0.926087161,4.17,5.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UTP6,NaN,NaN,NaN,NaN,NaN,NaN,0.062695887,3.22,0.96,NaN,NaN,NaN,NaN,NaN,NaN
VAMP7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.107990886,1.79,0.3,NaN,NaN,NaN
VAPA,NaN,NaN,NaN,NaN,NaN,NaN,-0.415386827,2.4,0.34,NaN,NaN,NaN,NaN,NaN,NaN
VARS,NaN,NaN,NaN,NaN,NaN,NaN,0.600387153,2.92,1.1,NaN,NaN,NaN,NaN,NaN,NaN
VAT1,NaN,NaN,NaN,NaN,NaN,NaN,-0.033576324,2.82,0.57,NaN,NaN,NaN,NaN,NaN,NaN
VGLL3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.499274223,1.54,0.47
VMP1,NaN,NaN,NaN,NaN,NaN,NaN,0.658687977,1.86,0.58,NaN,NaN,NaN,NaN,NaN,NaN
VPS35,NaN,NaN,NaN,NaN,NaN,NaN,0.116872254,1.63,0.61,NaN,NaN,NaN,NaN,NaN,NaN
WDR18,NaN,NaN,NaN,NaN,NaN,NaN,-0.000137726,2.16,0.45,NaN,NaN,NaN,NaN,NaN,NaN
WDR3,NaN,NaN,NaN,NaN,NaN,NaN,0.208458957,2.89,0.42,NaN,NaN,NaN,NaN,NaN,NaN
WDR36,NaN,NaN,NaN,NaN,NaN,NaN,0.24699828,2.34,0.68,NaN,NaN,NaN,NaN,NaN,NaN
WDR43,0.580712636,2.42,1.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WDR75,NaN,NaN,NaN,NaN,NaN,NaN,0.140068891,1.4,1.35,NaN,NaN,NaN,NaN,NaN,NaN
WIZ,-0.038877774,6.19,6.44,0.570326769,5.76,5.18,0.017827675,3.91,3.56,NaN,NaN,NaN,0.248264735,4.15,6.39
WRN,0.269533993,3.52,2.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XBP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.286672967,1.85,3.29
XPO1,-2.207478497,1.32,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XRCC5,-0.506554925,2.18,1.03,NaN,NaN,NaN,NaN,NaN,NaN,0.542675486,1.58,3.1,-0.086289348,2.73,3.25
XRCC6,-0.021729845,1.47,2.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YEATS2,0.037358328,4.9,8.94,-0.075182366,3.69,5.03,-0.100536615,1.76,4.78,NaN,NaN,NaN,-0.034883076,4.82,5.75
YIF1A,NaN,NaN,NaN,NaN,NaN,NaN,0.051567296,1.33,0.31,NaN,NaN,NaN,NaN,NaN,NaN
YIPF4,0.959635645,4.05,2.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YME1L1,NaN,NaN,NaN,NaN,NaN,NaN,0.123956509,2.7,0.61,NaN,NaN,NaN,NaN,NaN,NaN
YY1AP1,-0.91862961,1.37,2.2,0.347060535,1.51,2.16,NaN,NaN,NaN,NaN,NaN,NaN,0.11214388,5.94,4.21
ZATT,0.078325555,6.38,4.05,0.298972887,2.19,1.56,NaN,NaN,NaN,NaN,NaN,NaN,0.075619522,2.11,3.55
ZBTB1,0.054373999,5.56,5.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.258901062,5.01,6.58
ZBTB12,0.193055735,5.02,5.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24807752,4.77,4.78
ZBTB2,0.239776086,6.73,6.83,1.077030818,1.79,3.76,NaN,NaN,NaN,NaN,NaN,NaN,0.795766173,1.5,3.81
ZBTB20,0.108518149,4.78,5.44,0.649056188,1.6,2.88,NaN,NaN,NaN,NaN,NaN,NaN,0.654941906,4.16,4.09
ZBTB21,0.187549566,5.49,4.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106643272,4.72,4.81
ZBTB25,0.055406039,4.25,5.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZBTB33,0.013142716,6.82,8.45,-0.019437295,6.66,5.85,-0.139421648,3.75,3.88,NaN,NaN,NaN,-0.029055834,6.85,6.51
ZBTB38,0.284118429,5.59,6.82,0.388514606,4.22,4.74,NaN,NaN,NaN,NaN,NaN,NaN,0.123639017,4.62,5.92
ZBTB39,0.029091988,5.29,4.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZBTB5,0.247576821,5.45,7.62,0.154877525,4.03,4.62,NaN,NaN,NaN,NaN,NaN,NaN,0.479934162,5.13,5.27
ZBTB6,0.287810458,3.98,3.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZBTB8A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.97428312,3.16,3.53
ZBTB9,0.046948021,7.31,8.57,-0.018509794,6.59,5.62,NaN,NaN,NaN,NaN,NaN,NaN,0.147201866,5.56,6.79
ZC3H11A,0.00944623,6.25,6.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.135593398,6.3,5.63
ZCCHC7,0.215788137,3.83,7.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.666672958,1.75,2.2
ZDHHC5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.396352839,1.62,2.56,NaN,NaN,NaN
ZEB1,-0.045463675,4.06,4.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31579285,1.84,4.27
ZFY,NaN,NaN,NaN,0.113654199,1.37,2.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZFX,NaN,NaN,NaN,0.113654199,1.37,2.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZKSCAN1,0.127162439,2.42,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZKSCAN2,0.948885126,3.13,3.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.948320664,4.17,3.6
ZMPSTE24,NaN,NaN,NaN,NaN,NaN,NaN,0.190734651,2.8,0.43,NaN,NaN,NaN,NaN,NaN,NaN
ZMYM1,-0.182504214,1.37,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZMYM2,0.054481321,6.12,8.23,0.551627276,5.2,5.5,0.025170974,6.32,4.02,NaN,NaN,NaN,0.357518531,4.48,6
ZMYM4,0.167871438,4.15,8.57,0.280844585,1.84,6.02,0.142027388,2.6,6.39,NaN,NaN,NaN,0.088926447,1.88,6.45
ZNF106,0.112444613,7.02,5.26,-0.162020997,2.17,2.81,NaN,NaN,NaN,NaN,NaN,NaN,0.35055281,3.16,5.22
ZNF12,0.05094421,3.53,2.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.438300605,2.19,2.54
ZNF131,0.613756295,3.79,3.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF195,0.022899368,5.08,4.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF205,NaN,NaN,NaN,NaN,NaN,NaN,0.692204051,1.63,2.02,NaN,NaN,NaN,NaN,NaN,NaN
ZNF225,3.299908245,4.38,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF24,0.110774188,5.32,5.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.642649518,5.22,5.86
ZNF251,0.762450409,1.53,2.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF260,NaN,NaN,NaN,NaN,NaN,NaN,4.691803907,3.01,0.31,NaN,NaN,NaN,NaN,NaN,NaN
ZNF280C,0.614448418,2.42,0.48,0.735762191,2.63,0.81,-0.133404042,1.58,0.46,NaN,NaN,NaN,0.183012847,3.41,1.47
ZNF317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.859179846,1.31,2.56,NaN,NaN,NaN
ZNF320,0.575826718,3.99,2.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF347,0.674661657,3.13,2.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.479237947,5.56,3.55
ZNF445,0.254713378,5.08,5.16,NaN,NaN,NaN,1.132021589,1.4,1.26,NaN,NaN,NaN,0.437971609,1.44,2.82
LAZSUL,0.135039319,3.99,6.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.084175733,3.36,3.31
ZNF462,0.275169097,3.69,2.89,0.693128217,2.28,3.36,0.057956811,2.39,1.4,NaN,NaN,NaN,0.133078842,1.9,3.58
ZNF496,0.092271218,5.93,5.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF512,0.044918441,1.86,2.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF518A,-0.100188378,6.01,3.04,0.526961552,2.08,3.02,NaN,NaN,NaN,NaN,NaN,NaN,0.232985757,3.43,4.89
ZNF608,NaN,NaN,NaN,1.638138038,1.34,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF609,NaN,NaN,NaN,-0.917547833,1.55,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF644,-0.334195197,3.93,1.52,0.277549613,1.94,1.6,NaN,NaN,NaN,NaN,NaN,NaN,0.120084905,3.41,5.45
ZNF687,0.700464964,4.39,1.72,0.325816683,3.64,3.52,NaN,NaN,NaN,NaN,NaN,NaN,0.600561132,5.86,4.18
ZNF7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.901788294,1.92,2.15
ZNF800,1.51409055,3.29,1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF827,0.170136601,4.81,7.13,0.34862023,3.18,3.85,NaN,NaN,NaN,NaN,NaN,NaN,0.145932189,4.9,6.84
ZNF836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.076472243,2.55,3.46
ZNF888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728027198,2.91,2.09,NaN,NaN,NaN
ZNF701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728027198,2.91,2.09,NaN,NaN,NaN
IKZF2,0.8335784,5.18,4.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95916943,2.15,3.33
ZNHIT6,-0.142713476,5.12,5.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.114811745,3.13,5.47
ZSCAN26,0.768041237,1.46,2.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZW10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819724577,1.51,2.28,NaN,NaN,NaN
ZXDC,0.027331264,3.76,4.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61770187,5.49,4.23