GENE_NAME,Sumo,Diff,minLogP
NAB2,PIAS2,NA,NA
NFIL3,PIAS2,NA,NA
NHP2,PIAS2,NA,NA
NIFK,PIAS2,NA,NA
NOL10,PIAS2,NA,NA
NOP2,PIAS2,NA,NA
NOP58,PIAS2,NA,NA
NOVA2,PIAS2,NA,NA
NPAT,PIAS2,NA,NA
NR3C1,PIAS2,NA,NA
NUMA1,PIAS2,NA,NA
OGDH,PIAS2,NA,NA
PHF21A,PIAS2,NA,NA
PIAS1,PIAS2,NA,NA
PIAS2,PIAS2,4.85,3.98
PIAS3,PIAS2,NA,NA
PLOD3,PIAS2,NA,NA
PML,PIAS2,NA,NA
PML-11,PIAS2,NA,NA
PNN,PIAS2,NA,NA
POLR3D,PIAS2,NA,NA
PTGFRN,PIAS2,NA,NA
PTRF,PIAS2,NA,NA
RAD18,PIAS2,NA,NA
RAD54L2,PIAS2,NA,NA
RANGAP1,PIAS2,NA,NA
RBBP6,PIAS2,NA,NA
RBM25,PIAS2,NA,NA
RBM28,PIAS2,NA,NA
RNF216,PIAS2,NA,NA
RPL13,PIAS2,NA,NA
RPS27A,PIAS2,NA,NA
RRP15,PIAS2,NA,NA
RRS1,PIAS2,NA,NA
RSF1,PIAS2,NA,NA
RSL1D1,PIAS2,NA,NA
SAP130,PIAS2,NA,NA
SART1,PIAS2,NA,NA
SEC61A1,PIAS2,NA,NA
SETX,PIAS2,NA,NA
SLX4,PIAS2,NA,NA
SLX4IP,PIAS2,NA,NA
SMARCC1,PIAS2,NA,NA
SNIP1,PIAS2,NA,NA
SNW1,PIAS2,NA,NA
SOD1,PIAS2,NA,NA
SP100,PIAS2,NA,NA
SPRTN,PIAS2,NA,NA
SRRM1,PIAS2,NA,NA
SUMO1,PIAS2,NA,NA
SUMO2,PIAS2,NA,NA
SUMO3,PIAS2,NA,NA
TARDBP;TDP43,PIAS2,NA,NA
TCOF1,PIAS2,NA,NA
TERF2IP,PIAS2,NA,NA
TNRC18,PIAS2,NA,NA
TOP2A,PIAS2,NA,NA
TOP2B,PIAS2,NA,NA
TOPORS,PIAS2,NA,NA
TRIM28,PIAS2,NA,NA
TRIM33,PIAS2,NA,NA
USP39,PIAS2,NA,NA
UTP14A,PIAS2,NA,NA
UTP18,PIAS2,NA,NA
UTP3,PIAS2,NA,NA
WDR43,PIAS2,NA,NA
WDR75,PIAS2,NA,NA
WIZ,PIAS2,NA,NA
XRCC5,PIAS2,NA,NA
YEATS2,PIAS2,NA,NA
ZBTB1,PIAS2,NA,NA
ZBTB12,PIAS2,NA,NA
ZBTB2,PIAS2,NA,NA
ZBTB20,PIAS2,NA,NA
ZBTB25,PIAS2,NA,NA
ZBTB33,PIAS2,NA,NA
ZBTB38,PIAS2,NA,NA
ZBTB5,PIAS2,NA,NA
ZBTB9,PIAS2,NA,NA
ZC3H11A,PIAS2,NA,NA
ZCCHC7,PIAS2,NA,NA
ZFR,PIAS2,NA,NA
ZMYM2,PIAS2,NA,NA
ZMYM4,PIAS2,NA,NA
ZMYND8,PIAS2,NA,NA
ZNF106,PIAS2,NA,NA
ZNF131,PIAS2,NA,NA
ZNF251,PIAS2,NA,NA
ZNF280C,PIAS2,NA,NA
ZNF318,PIAS2,NA,NA
ZNF445,PIAS2,NA,NA
ZNF451,PIAS2,NA,NA
ZNF451-3,PIAS2,NA,NA
ZNF462,PIAS2,NA,NA
ZNF518A,PIAS2,NA,NA
ZNF644,PIAS2,NA,NA
ZNF687,PIAS2,NA,NA
ZNF800,PIAS2,NA,NA
ZNF827,PIAS2,NA,NA
ZNHIT6,PIAS2,NA,NA
ZXDC,PIAS2,NA,NA
ATF6,PIAS3,NA,NA
BCL11B,PIAS3,NA,NA
BCLAF1,PIAS3,NA,NA
BHLHE40,PIAS3,NA,NA
BHLHE41,PIAS3,NA,NA
BNC2,PIAS3,NA,NA
BRD8,PIAS3,NA,NA
BRIX1,PIAS3,NA,NA
CASP8AP2,PIAS3,NA,NA
CCAR2,PIAS3,NA,NA
CDC5L,PIAS3,NA,NA
CDK11A,PIAS3,NA,NA
CENPC,PIAS3,NA,NA
CHD4,PIAS3,NA,NA
COIL,PIAS3,NA,NA
DDX18,PIAS3,NA,NA
DKC1,PIAS3,NA,NA
DNTTIP2,PIAS3,NA,NA
ELMSAN1,PIAS3,NA,NA
EMSY;C11orf30,PIAS3,NA,NA
ETV6,PIAS3,NA,NA
EXOSC10,PIAS3,NA,NA
FAM111A,PIAS3,NA,NA
FOSL2,PIAS3,NA,NA
FOXM1,PIAS3,NA,NA
FTSJ3,PIAS3,NA,NA
GLYR1,PIAS3,NA,NA
GTF2I,PIAS3,NA,NA
GTF2IRD1,PIAS3,NA,NA
HDAC1,PIAS3,NA,NA
HDX,PIAS3,NA,NA
HIPK1,PIAS3,NA,NA
HJURP,PIAS3,NA,NA
HMBOX1,PIAS3,NA,NA
HMG20B,PIAS3,NA,NA
HNRNPC,PIAS3,NA,NA
HNRNPM,PIAS3,NA,NA
HSF1,PIAS3,NA,NA
INTS12,PIAS3,NA,NA
KANSL1,PIAS3,NA,NA
KCTD1,PIAS3,NA,NA
KDM4A,PIAS3,NA,NA
KDM5B,PIAS3,NA,NA
KIAA1551,PIAS3,NA,NA
LAMB2,PIAS3,NA,NA
LAS1L,PIAS3,NA,NA
LMNA,PIAS3,NA,NA
LMNB1,PIAS3,NA,NA
LMNB2,PIAS3,NA,NA
MAFG,PIAS3,NA,NA
MAFK,PIAS3,NA,NA
MAGED4,PIAS3,NA,NA
MATR3,PIAS3,NA,NA
MBD1,PIAS3,NA,NA
MED6,PIAS3,NA,NA
MGA,PIAS3,NA,NA
MIS18BP1,PIAS3,NA,NA
MKI67,PIAS3,NA,NA
MORC2,PIAS3,NA,NA
MORC3,PIAS3,NA,NA
MPHOSPH10,PIAS3,NA,NA
MSANTD4,PIAS3,NA,NA
MVP,PIAS3,NA,NA
NAB2,PIAS3,NA,NA
NFIL3,PIAS3,NA,NA
NHP2,PIAS3,NA,NA
NIFK,PIAS3,NA,NA
NOL10,PIAS3,NA,NA
NOP2,PIAS3,NA,NA
NOP58,PIAS3,NA,NA
NOVA2,PIAS3,NA,NA
NPAT,PIAS3,NA,NA
NR3C1,PIAS3,NA,NA
NUMA1,PIAS3,NA,NA
OGDH,PIAS3,NA,NA
PHF21A,PIAS3,NA,NA
PIAS1,PIAS3,NA,NA
PIAS2,PIAS3,NA,NA
PIAS3,PIAS3,6.15,4.1
PLOD3,PIAS3,NA,NA
PML,PIAS3,NA,NA
PML-11,PIAS3,NA,NA
PNN,PIAS3,NA,NA
POLR3D,PIAS3,NA,NA
PTGFRN,PIAS3,NA,NA
PTRF,PIAS3,NA,NA
RAD18,PIAS3,NA,NA
RAD54L2,PIAS3,NA,NA
RANGAP1,PIAS3,NA,NA
RBBP6,PIAS3,NA,NA
RBM25,PIAS3,NA,NA
RBM28,PIAS3,NA,NA
RNF216,PIAS3,NA,NA
RPL13,PIAS3,NA,NA
RPS27A,PIAS3,NA,NA
RRP15,PIAS3,NA,NA
RRS1,PIAS3,NA,NA
RSF1,PIAS3,NA,NA
RSL1D1,PIAS3,NA,NA
SAP130,PIAS3,NA,NA
SART1,PIAS3,NA,NA
SEC61A1,PIAS3,NA,NA
SETX,PIAS3,NA,NA
SLX4,PIAS3,NA,NA
SLX4IP,PIAS3,NA,NA
SMARCC1,PIAS3,NA,NA
SNIP1,PIAS3,NA,NA
SNW1,PIAS3,NA,NA
SOD1,PIAS3,3.85,3.78
SP100,PIAS3,NA,NA
SPRTN,PIAS3,NA,NA
SRRM1,PIAS3,NA,NA
SUMO1,PIAS3,NA,NA
SUMO2,PIAS3,NA,NA
SUMO3,PIAS3,NA,NA
TARDBP;TDP43,PIAS3,NA,NA
TCOF1,PIAS3,NA,NA
TERF2IP,PIAS3,NA,NA
TNRC18,PIAS3,NA,NA
TOP2A,PIAS3,NA,NA
TOP2B,PIAS3,NA,NA
TOPORS,PIAS3,NA,NA
TRIM28,PIAS3,NA,NA
TRIM33,PIAS3,NA,NA
USP39,PIAS3,NA,NA
UTP14A,PIAS3,NA,NA
UTP18,PIAS3,NA,NA
UTP3,PIAS3,NA,NA
WDR43,PIAS3,NA,NA
WDR75,PIAS3,NA,NA
WIZ,PIAS3,NA,NA
XRCC5,PIAS3,NA,NA
YEATS2,PIAS3,NA,NA
ZBTB1,PIAS3,NA,NA
ZBTB12,PIAS3,NA,NA
ZBTB2,PIAS3,NA,NA
ZBTB20,PIAS3,NA,NA
ZBTB25,PIAS3,NA,NA
ZBTB33,PIAS3,NA,NA
ZBTB38,PIAS3,NA,NA
ZBTB5,PIAS3,NA,NA
ZBTB9,PIAS3,NA,NA
ZC3H11A,PIAS3,NA,NA
ZCCHC7,PIAS3,NA,NA
ZFR,PIAS3,NA,NA
ZMYM2,PIAS3,NA,NA
ZMYM4,PIAS3,NA,NA
ZMYND8,PIAS3,NA,NA
ZNF106,PIAS3,NA,NA
ZNF131,PIAS3,NA,NA
ZNF251,PIAS3,NA,NA
ZNF280C,PIAS3,NA,NA
ZNF318,PIAS3,NA,NA
ZNF445,PIAS3,NA,NA
ZNF451,PIAS3,NA,NA
ZNF451-3,PIAS3,NA,NA
ZNF462,PIAS3,NA,NA
ZNF518A,PIAS3,NA,NA
ZNF644,PIAS3,NA,NA
ZNF687,PIAS3,NA,NA
ZNF800,PIAS3,NA,NA
ZNF827,PIAS3,NA,NA
ZNHIT6,PIAS3,NA,NA
ZXDC,PIAS3,NA,NA
ATF6,PIAS4,NA,NA
BCL11B,PIAS4,NA,NA
BCLAF1,PIAS4,NA,NA
BHLHE40,PIAS4,NA,NA
BHLHE41,PIAS4,NA,NA
BNC2,PIAS4,NA,NA
BRD8,PIAS4,NA,NA
BRIX1,PIAS4,NA,NA
CASP8AP2,PIAS4,NA,NA
CCAR2,PIAS4,NA,NA
CDC5L,PIAS4,NA,NA
CDK11A,PIAS4,NA,NA
CENPC,PIAS4,NA,NA
CHD4,PIAS4,NA,NA
COIL,PIAS4,NA,NA
DDX18,PIAS4,NA,NA
DKC1,PIAS4,NA,NA
DNTTIP2,PIAS4,NA,NA
ELMSAN1,PIAS4,NA,NA
EMSY;C11orf30,PIAS4,NA,NA
ETV6,PIAS4,NA,NA
EXOSC10,PIAS4,NA,NA
FAM111A,PIAS4,NA,NA
FOSL2,PIAS4,NA,NA
FOXM1,PIAS4,NA,NA
FTSJ3,PIAS4,NA,NA
GLYR1,PIAS4,NA,NA
GTF2I,PIAS4,NA,NA
GTF2IRD1,PIAS4,NA,NA
HDAC1,PIAS4,NA,NA
HDX,PIAS4,NA,NA
HIPK1,PIAS4,NA,NA
HJURP,PIAS4,NA,NA
HMBOX1,PIAS4,NA,NA
HMG20B,PIAS4,NA,NA
HNRNPC,PIAS4,NA,NA
HNRNPM,PIAS4,NA,NA
HSF1,PIAS4,NA,NA
INTS12,PIAS4,NA,NA
KANSL1,PIAS4,NA,NA
KCTD1,PIAS4,NA,NA
KDM4A,PIAS4,NA,NA
KDM5B,PIAS4,NA,NA
KIAA1551,PIAS4,NA,NA
LAMB2,PIAS4,NA,NA
LAS1L,PIAS4,NA,NA
LMNA,PIAS4,NA,NA
LMNB1,PIAS4,NA,NA
LMNB2,PIAS4,NA,NA
MAFG,PIAS4,NA,NA
MAFK,PIAS4,NA,NA
MAGED4,PIAS4,NA,NA
MATR3,PIAS4,NA,NA
MBD1,PIAS4,NA,NA
MED6,PIAS4,NA,NA
MGA,PIAS4,NA,NA
MIS18BP1,PIAS4,NA,NA
MKI67,PIAS4,NA,NA
MORC2,PIAS4,NA,NA
MORC3,PIAS4,NA,NA
MPHOSPH10,PIAS4,NA,NA
MSANTD4,PIAS4,NA,NA
MVP,PIAS4,NA,NA
NAB2,PIAS4,NA,NA
NFIL3,PIAS4,NA,NA
NHP2,PIAS4,NA,NA
NIFK,PIAS4,NA,NA
NOL10,PIAS4,NA,NA
NOP2,PIAS4,NA,NA
NOP58,PIAS4,NA,NA
NOVA2,PIAS4,NA,NA
NPAT,PIAS4,NA,NA
NR3C1,PIAS4,NA,NA
NUMA1,PIAS4,NA,NA
OGDH,PIAS4,NA,NA
PHF21A,PIAS4,NA,NA
PIAS1,PIAS4,NA,NA
PIAS2,PIAS4,NA,NA
PIAS3,PIAS4,NA,NA
PLOD3,PIAS4,NA,NA
PML,PIAS4,NA,NA
PML-11,PIAS4,NA,NA
PNN,PIAS4,NA,NA
POLR3D,PIAS4,NA,NA
PTGFRN,PIAS4,NA,NA
PTRF,PIAS4,NA,NA
RAD18,PIAS4,NA,NA
RAD54L2,PIAS4,NA,NA
RANGAP1,PIAS4,NA,NA
RBBP6,PIAS4,NA,NA
RBM25,PIAS4,NA,NA
RBM28,PIAS4,NA,NA
RNF216,PIAS4,NA,NA
RPL13,PIAS4,NA,NA
RPS27A,PIAS4,NA,NA
RRP15,PIAS4,NA,NA
RRS1,PIAS4,NA,NA
RSF1,PIAS4,NA,NA
RSL1D1,PIAS4,NA,NA
SAP130,PIAS4,NA,NA
SART1,PIAS4,NA,NA
SEC61A1,PIAS4,NA,NA
SETX,PIAS4,NA,NA
SLX4,PIAS4,NA,NA
SLX4IP,PIAS4,NA,NA
SMARCC1,PIAS4,NA,NA
SNIP1,PIAS4,NA,NA
SNW1,PIAS4,NA,NA
SOD1,PIAS4,NA,NA
SP100,PIAS4,NA,NA
SPRTN,PIAS4,NA,NA
SRRM1,PIAS4,NA,NA
SUMO1,PIAS4,NA,NA
SUMO2,PIAS4,NA,NA
SUMO3,PIAS4,NA,NA
TARDBP;TDP43,PIAS4,NA,NA
TCOF1,PIAS4,NA,NA
TERF2IP,PIAS4,NA,NA
TNRC18,PIAS4,NA,NA
TOP2A,PIAS4,NA,NA
TOP2B,PIAS4,NA,NA
TOPORS,PIAS4,NA,NA
TRIM28,PIAS4,NA,NA
TRIM33,PIAS4,NA,NA
USP39,PIAS4,NA,NA
UTP14A,PIAS4,NA,NA
UTP18,PIAS4,NA,NA
UTP3,PIAS4,NA,NA
WDR43,PIAS4,NA,NA
WDR75,PIAS4,NA,NA
WIZ,PIAS4,NA,NA
XRCC5,PIAS4,NA,NA
YEATS2,PIAS4,NA,NA
ZBTB1,PIAS4,NA,NA
ZBTB12,PIAS4,NA,NA
ZBTB2,PIAS4,NA,NA
ZBTB20,PIAS4,NA,NA
ZBTB25,PIAS4,NA,NA
ZBTB33,PIAS4,NA,NA
ZBTB38,PIAS4,NA,NA
ZBTB5,PIAS4,NA,NA
ZBTB9,PIAS4,NA,NA
ZC3H11A,PIAS4,NA,NA
ZCCHC7,PIAS4,NA,NA
ZFR,PIAS4,NA,NA
ZMYM2,PIAS4,NA,NA
ZMYM4,PIAS4,NA,NA
ZMYND8,PIAS4,NA,NA
ZNF106,PIAS4,NA,NA
ZNF131,PIAS4,NA,NA
ZNF251,PIAS4,NA,NA
ZNF280C,PIAS4,NA,NA
ZNF318,PIAS4,NA,NA
ZNF445,PIAS4,NA,NA
ZNF451,PIAS4,NA,NA
ZNF451-3,PIAS4,NA,NA
ZNF462,PIAS4,NA,NA
ZNF518A,PIAS4,NA,NA
ZNF644,PIAS4,NA,NA
ZNF687,PIAS4,NA,NA
ZNF800,PIAS4,NA,NA
ZNF827,PIAS4,NA,NA
ZNHIT6,PIAS4,NA,NA
ZXDC,PIAS4,NA,NA